City,AQI
Bhubaneswar,103.73108317547788
Agartala,105.52929223351128
Gangtok,65.99076976063371
Chennai,74.3470983296022
Aizawl,59.562045806784916
Ahmedabad,89.11727225762012
Gurugram,222.52168073015326
Dehradun,91.99280179094197
Delhi,159.84363698983984
Chandigarh,115.33800585500258
Bhopal,85.03795419321509
Bengaluru,66.77124160495953
Hyderabad,83.88203891854658
Guwahati,87.50504563457896
Patna,132.85107628723955
Lucknow,129.40557947304976
Shimla,74.89956948510418
Ranchi,100.32216290683658
Mumbai,114.22899948338213
Kolkata,122.45975546753918
Panaji,71.73380402961942
Shillong,66.27249870845532
Itanagar,60.25365937661443
Imphal,71.03402789736525
Raipur,123.69416221801275
Thiruvananthapuram,63.2288272774238
Jaipur,103.27036335457207
Kohima,60.00361632512485
Visakhapatnam,102.50008610297917
