Month,Hour,AQI
3,22,116.6132740081572
10,2,90.26418242491657
3,15,118.63070077864293
11,23,112.64239001189061
7,21,63.96143863552095
9,10,69.24827586206897
9,16,73.2669540229885
1,0,128.1338524286244
4,10,101.51034482758621
5,16,116.28105302187616
6,20,92.89693486590038
6,1,86.07318007662835
3,1,112.84686688913608
7,4,61.69076751946607
12,19,114.69744160177976
2,2,112.09168356997972
8,9,67.21954022988506
9,4,69.21436781609195
6,22,87.95095785440613
8,3,67.14111851637206
12,7,111.33481646273637
10,15,93.53865406006675
3,13,113.56358917315536
2,19,119.86409736308316
7,14,62.456803856136446
12,17,114.16203188728217
3,18,128.73563218390805
11,8,110.84036860879905
1,7,127.4638487208009
11,6,110.81123662306777
1,20,130.82313681868743
2,3,111.92860040567952
4,7,101.39961685823755
7,1,61.80088987764182
12,2,111.45680385613645
6,17,95.47777777777777
9,13,69.48706896551724
1,2,127.73303670745273
7,20,65.41342232109751
11,1,111.11504161712247
8,20,69.71580459770115
9,1,69.24942528735632
6,0,86.65670498084292
12,20,114.2862439747868
10,20,96.04977753058954
4,22,107.72873563218391
10,13,91.09510567296996
10,18,99.46301446051167
4,0,103.42835249042146
1,9,127.39896180941787
2,22,114.56795131845841
5,22,103.38783833889507
10,16,96.30561735261402
7,15,63.239896180941784
5,7,96.60511679644048
1,22,129.40081572117168
5,6,96.63366703744902
8,13,67.58333333333333
12,1,111.53763440860214
4,11,101.81570881226054
11,16,114.68430439952438
6,8,85.07969348659005
10,5,90.1793659621802
8,14,67.81810344827586
1,1,127.87319243604004
7,22,62.84278828327771
9,7,69.21609195402299
4,9,101.37931034482759
6,5,85.24827586206897
1,3,127.63885799035965
2,17,118.04503042596349
6,12,85.3823754789272
6,13,86.22298850574713
8,12,67.41350574712644
11,4,110.84155766944114
5,21,107.84909158324064
10,6,90.19855394883204
2,14,112.66247464503043
3,10,112.31813125695217
6,18,96.04827586206896
11,7,110.81599286563615
3,5,112.43344456803857
7,19,66.57026325546904
7,23,62.23915461624027
1,11,127.37782721542455
2,5,111.73265720081136
6,21,90.16245210727969
7,2,61.75046347793845
3,20,123.862439747868
1,4,127.587319243604
5,4,96.71783463107155
5,17,119.82610307749351
9,12,69.35747126436782
12,5,111.39784946236558
7,9,61.697812384130515
11,19,116.52140309155767
5,12,97.47608453837597
5,23,100.37152391546162
2,9,111.47139959432049
4,17,126.29578544061303
8,10,67.25747126436782
9,21,71.36781609195403
10,4,90.18353726362625
4,13,104.16360153256704
5,13,99.73155357804968
8,19,70.65172413793104
10,1,90.41129032258064
11,5,110.81718192627824
2,15,113.67586206896551
7,3,61.72005932517612
3,3,112.48016314423434
9,3,69.21293103448276
11,21,114.48602853745541
4,15,115.03563218390805
1,8,127.42120875046348
9,2,69.22701149425288
4,23,104.91264367816092
6,15,90.9831417624521
3,17,126.87578791249537
8,5,67.1382183908046
1,16,128.84167593622544
1,19,131.3066370040786
11,9,110.85790725326991
1,23,128.62328513162774
8,1,67.13619240799768
2,21,116.33387423935092
12,15,112.51353355580274
3,19,127.68891360771228
4,3,101.67203065134099
6,23,86.48467432950191
6,7,85.13256704980843
7,12,61.92361883574342
8,11,67.32327586206897
12,21,113.79421579532814
2,1,112.4158215010142
4,20,119.17701149425288
10,19,98.2825361512792
8,18,70.90574712643678
2,18,119.90223123732251
2,20,118.29249492900608
7,11,61.807934742306266
8,8,67.17385057471265
5,20,113.65554319614387
7,16,64.61549870226177
2,4,111.82961460446248
3,11,112.47942157953281
11,3,110.86890606420927
12,14,112.13459399332592
9,11,69.2882183908046
4,6,101.42145593869732
6,3,85.43869731800767
12,0,111.743418613274
3,14,115.41935483870968
4,21,112.47854406130269
9,8,69.22183908045977
7,17,66.03040415276233
8,17,70.39827586206897
8,7,67.16350574712644
1,18,131.08676307007786
11,13,111.58680142687277
12,8,111.34149054505005
12,12,111.45457916203189
7,18,66.75862068965517
3,6,112.4256581386726
8,2,67.13503332367429
11,22,113.58412604042806
7,5,61.6551724137931
5,10,96.74378939562477
11,18,116.88941736028538
1,14,127.73934000741565
6,2,85.67739463601532
9,5,69.19683908045977
9,20,73.22356321839081
10,9,90.24388209121246
11,20,115.46373365041617
3,9,112.3503893214683
1,21,130.17500926955876
5,19,118.61549870226177
12,4,111.3540971449759
11,0,111.5615338882283
2,0,112.8896551724138
11,11,110.96462544589774
11,14,112.3370986920333
3,21,119.69262143121988
1,17,130.10567296996663
5,8,96.62662217278458
5,18,120.68520578420467
11,17,116.21521997621879
12,23,112.71486837226549
4,19,125.09578544061303
6,10,85.02681992337165
12,9,111.33592880978865
2,11,111.45882352941176
2,12,111.55456389452333
5,15,110.73711531331108
7,8,61.67445309603263
8,15,68.39942528735632
8,4,67.13416401043176
2,10,111.44300202839757
7,13,62.121987393400076
1,12,127.41750092695588
10,3,90.19382647385984
2,23,113.16348884381338
5,0,98.87282165368929
8,21,68.76522988505747
9,22,70.13045977011494
3,2,112.56470152020763
4,14,108.60191570881226
1,5,127.55357804968483
8,22,68.11781609195403
5,2,97.02150537634408
11,15,113.33769322235435
10,12,90.6738042269188
12,18,114.69225064886912
8,0,67.20457838307738
10,22,92.90906562847609
5,1,97.66295884315906
9,0,69.28764367816092
5,3,96.79347423062663
6,14,88.13448275862069
9,18,75.77586206896552
6,11,85.10574712643678
9,15,71.26494252873563
1,15,128.03188728216537
9,14,69.96551724137932
9,9,69.22155172413792
12,6,111.35001853911754
3,12,112.80608083055246
7,7,61.65294771968854
3,8,112.36040044493882
10,11,90.36512791991102
1,13,127.52725250278087
10,17,98.74110122358175
3,4,112.44086021505376
4,2,101.9375478927203
4,18,127.5624521072797
6,16,93.67203065134099
7,10,61.74082313681869
4,4,101.53869731800766
9,23,69.63189655172414
10,10,90.26529477196885
11,2,110.93043995243758
12,11,111.37263626251391
8,6,67.15919540229885
10,14,91.79032258064517
12,13,111.74972191323693
2,8,111.52616632860041
6,6,85.19272030651341
10,7,90.21078976640712
3,16,122.85168705969596
12,10,111.34556915090842
3,0,113.39191694475343
12,16,113.29217649239897
9,6,69.21034482758621
10,0,90.67074527252502
1,6,127.5120504263997
6,19,95.18122605363985
1,10,127.37115313311087
4,1,102.45287356321839
9,19,75.0477011494253
3,7,112.39859102706711
6,9,85.04022988505747
5,9,96.64923989618094
12,22,113.33259176863181
5,11,96.92584352984798
5,14,104.47237671486837
12,3,111.39784946236558
2,7,111.59310344827587
4,8,101.37892720306513
4,16,121.63984674329502
9,17,75.13419540229886
11,12,111.16319857312723
3,23,114.58138672599185
8,23,67.75287356321839
10,21,94.30895439377086
4,5,101.47241379310344
8,16,69.36350574712644
5,5,96.67408231368186
7,0,61.913978494623656
10,23,91.8932146829811
7,6,61.64145346681498
2,13,111.91237322515212
11,10,110.87752675386444
2,16,115.58620689655173
10,8,90.2258064516129
4,12,102.41187739463602
6,4,85.34099616858238
2,6,111.65679513184584
