Hour,AQI
12,94.59905956112853
22,97.11935024223426
1,94.71652263198426
13,95.20843545169564
6,94.27976631518952
16,101.09988600740952
3,94.39776389720772
20,101.29421487603305
5,94.29982901111428
19,103.45169563978341
15,98.58931319464234
9,94.25844970076945
17,103.2919065260758
4,94.35095975585408
8,94.25654032487888
23,95.88050726702764
7,94.26363636363637
10,94.2823881447706
21,98.93855799373041
11,94.3752921060131
14,96.5259618124822
2,94.49884487036879
0,95.12543852143408
18,104.19270447420918
