City,Date,AQI
Agartala,2023-03-01,153.29166666666666
Agartala,2023-04-12,187.66666666666666
Agartala,2023-10-13,145.95833333333334
Agartala,2024-03-26,127.08333333333333
Agartala,2025-09-05,46.125
Ahmedabad,2023-05-05,94.5
Ahmedabad,2023-07-16,63.25
Ahmedabad,2023-12-15,89.95833333333333
Ahmedabad,2024-06-05,61.583333333333336
Ahmedabad,2024-11-25,159.16666666666666
Ahmedabad,2025-10-27,75.5
Aizawl,2023-03-19,113.45833333333333
Aizawl,2023-07-21,45.208333333333336
Aizawl,2024-02-12,53.416666666666664
Aizawl,2024-04-25,83.45833333333333
Aizawl,2024-07-02,21.333333333333332
Aizawl,2025-05-22,45.916666666666664
Bengaluru,2022-12-09,102.04166666666667
Bengaluru,2023-12-19,90.58333333333333
Bengaluru,2023-12-20,98.20833333333333
Bengaluru,2024-01-02,92.375
Bengaluru,2024-05-01,76.75
Bengaluru,2024-07-18,18.25
Bhopal,2024-06-14,73.625
Bhopal,2024-10-06,102.0
Bhopal,2025-02-07,69.45833333333333
Bhopal,2025-02-21,72.5
Bhopal,2025-07-06,37.0
Bhubaneswar,2023-01-17,157.54166666666666
Bhubaneswar,2023-03-15,149.41666666666666
Bhubaneswar,2023-04-07,112.33333333333333
Bhubaneswar,2023-06-23,79.75
Bhubaneswar,2023-08-25,60.416666666666664
Bhubaneswar,2024-08-20,71.375
Bhubaneswar,2024-12-13,174.41666666666666
Chandigarh,2024-01-28,112.25
Chandigarh,2024-08-13,108.875
Chandigarh,2025-01-23,152.29166666666666
Chandigarh,2025-06-11,131.625
Chennai,2024-09-27,56.291666666666664
Chennai,2025-02-26,87.20833333333333
Dehradun,2022-10-13,66.375
Dehradun,2023-01-29,127.875
Dehradun,2023-08-20,76.0
Dehradun,2024-08-20,53.25
Dehradun,2024-11-02,91.0
Dehradun,2025-08-22,78.66666666666667
Delhi,2024-03-07,152.29166666666666
Delhi,2024-12-12,149.0
Delhi,2025-03-08,195.16666666666666
Delhi,2025-11-26,168.33333333333334
Gangtok,2024-03-06,68.16666666666667
Gangtok,2024-04-04,84.58333333333333
Gangtok,2024-09-12,35.75
Gangtok,2025-07-11,36.916666666666664
Gangtok,2025-08-19,39.583333333333336
Gangtok,2025-08-20,32.375
Gurugram,2022-12-28,165.04166666666666
Gurugram,2023-08-31,154.29166666666666
Gurugram,2023-09-22,137.04166666666666
Gurugram,2024-02-01,179.58333333333334
Gurugram,2024-06-23,162.875
Gurugram,2025-11-19,198.95833333333334
Guwahati,2022-09-07,55.291666666666664
Guwahati,2022-12-27,169.0
Guwahati,2023-02-25,101.83333333333333
Guwahati,2025-01-30,155.66666666666666
Guwahati,2025-03-29,162.41666666666666
Guwahati,2025-06-16,58.875
Guwahati,2025-07-31,51.458333333333336
Hyderabad,2023-10-03,88.70833333333333
Hyderabad,2023-12-23,150.79166666666666
Hyderabad,2024-08-10,57.958333333333336
Hyderabad,2024-12-10,133.16666666666666
Hyderabad,2025-03-11,109.20833333333333
Agartala,2022-09-18,73.20833333333333
Agartala,2023-12-31,94.95833333333333
Agartala,2024-01-17,157.83333333333334
Agartala,2024-02-07,162.125
Agartala,2024-03-15,125.95833333333333
Agartala,2025-03-26,157.95833333333334
Agartala,2025-10-06,51.416666666666664
Ahmedabad,2022-08-25,68.58333333333333
Ahmedabad,2022-10-02,62.5
Ahmedabad,2024-04-15,82.0
Ahmedabad,2024-05-24,56.666666666666664
Ahmedabad,2024-08-29,34.208333333333336
Ahmedabad,2024-09-11,68.25
Ahmedabad,2025-01-19,161.75
Ahmedabad,2025-06-13,59.25
Aizawl,2024-10-06,38.25
Aizawl,2024-11-20,43.0
Aizawl,2025-03-20,119.45833333333333
Bengaluru,2024-08-18,63.25
Bengaluru,2025-08-05,70.08333333333333
Bhopal,2023-06-27,45.5
Bhopal,2024-04-14,90.04166666666667
Bhopal,2024-10-31,64.66666666666667
Bhopal,2025-01-13,163.875
Bhopal,2025-06-04,106.83333333333333
Bhubaneswar,2022-09-12,43.125
Bhubaneswar,2023-03-05,122.125
Bhubaneswar,2023-05-02,132.91666666666666
Bhubaneswar,2024-06-01,71.375
Bhubaneswar,2024-11-15,168.125
Chandigarh,2023-07-18,91.16666666666667
Chandigarh,2024-03-15,71.33333333333333
Chandigarh,2024-05-27,105.79166666666667
Chandigarh,2025-05-11,119.58333333333333
Chennai,2023-01-01,101.25
Chennai,2023-09-22,75.125
Chennai,2023-11-23,35.541666666666664
Chennai,2024-03-17,52.708333333333336
Chennai,2024-10-09,38.125
Chennai,2025-09-04,53.375
Chennai,2025-09-27,51.291666666666664
Dehradun,2023-04-07,61.125
Dehradun,2023-11-24,86.04166666666667
